Date	Open_TATASTEEL.NS	High_TATASTEEL.NS	Low_TATASTEEL.NS	Close_TATASTEEL.NS	Volume_TATASTEEL.NS	AdjClose_TATASTEEL.NS	Return_TATASTEEL.NS
2010-11-02	594.45	601.7	588.0	599.05	6050500	526.6706	0.0120795273342
2010-11-03	603.2	613.4	601.65	609.6	4992200	535.9459	0.0176111975873
2010-11-04	617.5	622.6	615.1	621.5	4223300	546.4082	0.0195211867466
2010-11-05	627.3	629.0	621.25	623.55	1078800	548.2105	0.00329844976704
2010-11-08	626.0	638.65	620.8	633.2	5703200	556.6945	0.0154758071945
2010-11-09	635.4	644.85	632.9	641.3	5576500	563.8158	0.0127921148853
2010-11-10	641.9	647.5	636.0	637.4	3410300	560.3871	-0.00608124142672
2010-11-11	638.6	648.4	627.35	631.05	4895900	554.8043	-0.00996239920583
2010-11-12	628.6	630.8	603.5	606.95	6890000	533.6161	-0.0381904033548
2010-11-15	621.9	623.9	608.1	618.3	7086700	543.5948	0.0187001479153
2010-11-16	620.9	623.95	594.4	605.95	8892800	532.737	-0.0199740689205
2010-11-18	609.45	626.5	596.55	623.45	7427900	548.1226	0.0288802917762
2010-11-19	623.9	624.35	601.25	606.05	5985800	532.8249	-0.0279092670144
2010-11-22	610.55	627.05	608.7	624.85	4906700	549.3534	0.0310205097397
2010-11-23	616.0	622.8	602.85	612.15	5884300	538.1879	-0.0203248036692
2010-11-24	613.5	625.6	612.5	616.6	6368700	542.1002	0.00726939420229
2010-11-25	620.4	623.6	600.1	602.7	5886100	529.8796	-0.0225430649168
2010-11-26	606.4	608.15	581.7	598.8	8551700	526.4508	-0.0064709039563
2010-11-29	600.2	605.0	585.8	591.85	5725500	520.3406	-0.0116064027256
2010-11-30	589.0	589.0	574.1	584.8	7829100	514.1424	-0.011911813147
2010-12-01	587.9	614.8	587.0	613.55	6227500	539.4187	0.0491620609388
2010-12-02	621.9	630.3	616.55	622.75	5541100	547.5071	0.0149946599923
2010-12-03	623.5	624.8	606.4	614.55	4493600	540.2979	-0.0131673178302
2010-12-06	621.9	639.9	620.0	635.05	8358400	558.321	0.0333577087751
2010-12-07	639.4	644.35	633.1	639.35	6892600	562.1014	0.00677101524034
2010-12-08	635.4	636.3	621.2	624.25	4842700	548.8259	-0.0236176248627
2010-12-09	628.5	630.0	600.1	604.55	5908900	531.5061	-0.0315579129921
2010-12-10	602.75	621.0	594.45	619.0	5080400	544.2102	0.0239020775114
2010-12-13	620.0	634.0	616.8	631.0	5208400	554.7603	0.0193860754539
2010-12-14	633.0	649.0	632.0	646.6	5697900	568.4755	0.0247227496272
2010-12-15	644.85	652.65	636.75	642.75	5868300	565.0907	-0.0059541704084
2010-12-16	645.0	662.65	641.8	660.4	9004300	580.6081	0.0274600165956
2010-12-20	654.1	671.8	653.3	666.4	6483700	585.8832	0.00908547435008
2010-12-21	667.1	678.75	666.3	676.2	4329700	594.4991	0.0147058321522
2010-12-22	677.3	682.7	666.8	672.9	6263300	591.5978	-0.0048802428801
2010-12-23	675.05	677.8	659.25	661.35	5126400	581.4433	-0.0171645330662
2010-12-24	659.8	675.7	655.05	672.85	3964600	591.5538	0.0173886258557
2010-12-27	672.15	678.0	661.55	662.55	2795900	582.4983	-0.0153079905834
2010-12-28	665.0	669.75	662.7	665.0	2142000	584.6523	0.00369786486931
2010-12-29	667.25	672.0	666.0	668.05	2184800	587.3338	0.00458648670329
2010-12-30	670.6	676.6	670.0	672.75	3546800	591.4659	0.00703535195829
2010-12-31	675.2	684.3	672.0	680.4	3986600	598.1917	0.0113714078867
2011-01-03	685.2	707.5	685.1	704.05	6654100	618.9842	0.0347589242713
2011-01-04	708.6	713.9	693.25	694.7	7941800	610.7639	-0.0132803066702
2011-01-05	696.5	696.65	677.25	680.95	4927300	598.6752	-0.0197927546143
2011-01-06	687.75	690.85	681.5	683.3	3796800	600.7412	0.00345095303764
2011-01-07	684.5	687.95	656.15	661.25	5833100	581.3554	-0.0322698027037
2011-01-10	660.0	665.7	645.0	650.7	6248300	572.0801	-0.0159546122733
2011-01-11	649.0	660.4	640.75	646.55	5881500	568.4315	-0.00637777821672
2011-01-12	648.1	658.6	626.25	648.9	8540100	570.4976	0.0036347387504
2011-01-13	651.8	656.0	635.0	637.55	6814000	560.5189	-0.0174912216984
2011-01-14	635.0	636.6	617.5	622.45	6774000	547.2434	-0.0236843039548
2011-01-17	617.15	628.0	613.2	625.65	5086500	550.0568	0.00514103961784
2011-01-18	627.0	638.8	627.0	632.6	5859500	556.167	0.0111083073603
2011-01-19	633.9	644.5	633.05	639.6	5766300	562.3212	0.0110653814412
2011-01-20	633.9	643.25	630.6	634.2	6370300	557.5737	-0.00844268364771
2011-01-21	630.25	635.0	627.0	629.55	3699400	553.4855	-0.00733212488322
2011-01-24	628.9	652.3	625.0	649.25	6239700	570.8053	0.031292238008
2011-01-25	650.4	664.5	650.3	655.35	5957100	576.1683	0.00939549790445
2011-01-27	657.2	660.4	647.3	650.1	5277200	571.5526	-0.00801102733351
2011-01-28	647.0	654.5	630.2	637.45	4677100	560.431	-0.019458576516
2011-01-31	621.0	641.95	618.0	639.7	6847300	562.4092	0.00352978332747
2011-02-01	637.45	642.8	627.1	631.75	6381700	555.4197	-0.0124277838983
2011-02-02	631.1	634.95	615.8	626.25	15400400	550.5842	-0.00870602897232
2011-02-03	625.7	640.9	625.7	638.1	5446800	561.0025	0.0189222647508
2011-02-04	637.75	652.0	632.0	635.9	7009100	559.0683	-0.00344775647167
2011-02-07	639.7	645.5	634.1	640.4	5215200	563.0246	0.00707659511369
2011-02-08	645.1	645.1	616.3	619.7	6296400	544.8256	-0.0323236320402
2011-02-09	618.9	620.7	595.15	599.15	8262900	526.7586	-0.0331610702581
2011-02-10	599.0	604.5	581.15	600.55	8597800	527.9894	0.00233655416352
2011-02-11	602.0	602.9	575.1	595.3	8848200	523.3737	-0.00874203156351
2011-02-14	607.3	623.0	599.5	620.25	5332100	545.3092	0.0419117353432
2011-02-15	624.0	627.0	612.0	616.6	5880800	542.1002	-0.00588473475232
2011-02-16	610.0	644.5	605.8	641.4	10190300	563.9038	0.0402206086624
2011-02-17	644.0	657.0	641.55	655.1	6194600	575.9485	0.0213594942967
2011-02-18	656.6	661.4	634.15	638.35	5729200	561.2223	-0.0255686055264
2011-02-21	641.4	641.4	622.35	637.45	5239300	560.431	-0.00140995822867
2011-02-22	630.9	631.0	620.3	624.35	5021600	548.9138	-0.0205506119397
2011-02-23	622.9	737.0	614.45	627.0	4404700	551.2436	0.00424438226913
2011-02-24	624.0	625.95	595.1	602.65	7626700	529.8357	-0.0388356436247
2011-02-25	608.1	611.4	591.2	606.85	7746200	533.5282	0.00696914156596
2011-02-28	614.0	616.6	599.3	607.15	6454600	533.792	0.000494444342398
2011-03-01	611.15	635.8	609.2	634.45	5463000	557.7935	0.0449641433367
2011-03-03	630.0	632.4	618.1	624.4	5210700	548.9578	-0.0158404499156
2011-03-04	630.2	633.15	616.2	618.2	4024300	543.5069	-0.00992954285375
2011-03-07	613.45	613.65	595.1	602.75	4484300	529.9236	-0.0249919550239
2011-03-08	607.0	618.6	603.1	616.0	4271300	541.5727	0.0219826027752
2011-03-09	618.0	620.55	607.0	612.95	3493700	538.8912	-0.0049513204783
2011-03-10	611.0	611.0	595.2	596.55	6225700	524.4727	-0.0267558646346
2011-03-11	594.45	594.45	577.15	581.3	7305000	511.0653	-0.0255635803351
2011-03-14	582.1	602.8	582.1	601.1	5321900	528.4729	0.0340614007642
2011-03-15	585.0	599.9	575.0	593.3	7669800	521.6154	-0.0129760674578
2011-03-16	596.5	607.5	596.5	599.55	5277100	527.1102	0.0105341981851
2011-03-17	590.55	599.7	590.0	592.7	3754500	521.0879	-0.0114251251446
2011-03-18	599.05	603.45	593.1	597.15	4236500	525.0002	0.00750794635608
2011-03-21	601.0	606.0	596.55	601.45	3517900	528.7807	0.00720094963773
2011-03-22	605.0	610.5	603.15	604.8	2966200	531.7259	0.00556979481286
2011-03-23	604.85	611.8	603.9	610.4	2767000	536.6493	0.00925928189693
2011-03-24	615.0	616.4	605.65	609.75	3390600	536.0778	-0.00106494129406
2011-03-25	616.9	616.9	608.3	615.45	3961400	541.0891	0.00934808343117
2011-03-28	614.7	620.15	610.05	613.4	2865800	539.2868	-0.00333087471176
2011-03-29	612.5	618.45	608.4	612.9	4818000	538.8473	-0.000814965246692
2011-03-30	616.0	622.95	614.7	615.8	3326500	541.3968	0.00473139607455
2011-03-31	617.2	626.85	614.0	622.25	4877800	547.0675	0.0104742030245
2011-04-01	623.0	629.95	620.25	626.6	2507000	550.8919	0.00699072783523
2011-04-04	627.1	634.2	625.7	631.15	2221100	554.8922	0.00726149721933
2011-04-05	633.6	637.9	623.25	635.2	3142300	558.4529	0.00641692206162
2011-04-06	636.0	640.55	631.15	634.4	2526100	557.7496	-0.00125937209745
2011-04-07	636.0	642.0	634.0	638.35	2501400	561.2223	0.0062262707136
2011-04-08	638.5	641.9	625.7	629.85	2243800	553.7493	-0.0133155792277
2011-04-11	629.0	634.9	623.1	624.95	1955200	549.4413	-0.00777969380729
2011-04-13	621.55	640.0	619.4	636.4	2095800	559.5079	0.0183215204245
2011-04-15	634.4	638.0	628.2	630.6	2490000	554.4086	-0.00911390169826
2011-04-18	631.9	636.3	609.5	612.1	3364400	538.1439	-0.0293370268787
2011-04-19	608.0	617.0	605.05	609.4	3180700	535.7701	-0.00441108781499
2011-04-20	616.0	626.5	615.8	624.5	2674500	549.0457	0.0247785384067
2011-04-21	628.25	633.0	626.55	630.05	2184400	553.9251	0.00888705621408
2011-04-25	629.75	634.7	625.35	626.7	2208200	550.9799	-0.00531696433326
2011-04-26	628.0	628.95	615.6	627.4	2661500	551.5953	0.00111691914714
2011-04-27	630.0	632.9	619.05	620.05	2197800	545.1333	-0.011715110698
2011-04-28	623.1	624.3	612.0	613.45	2911700	539.3308	-0.0106441855598
2011-04-29	614.1	619.4	610.5	616.5	1881700	542.0123	0.0049719022166
