Date	Open_RELIANCE.NS	High_RELIANCE.NS	Low_RELIANCE.NS	Close_RELIANCE.NS	Volume_RELIANCE.NS	AdjClose_RELIANCE.NS	Return_RELIANCE.NS
2011-05-25	914.1	914.1	901.0	906.0	2997200	858.2789	-0.0106469591948
2011-05-26	912.6	936.85	911.1	933.85	6857900	884.6619	0.0307394251449
2011-05-27	934.1	952.9	934.1	945.45	3459400	895.651	0.0124218076985
2011-05-30	948.95	953.0	934.25	938.85	1729100	889.3986	-0.00698084410111
2011-05-31	945.0	955.9	937.3	951.85	3219200	901.7138	0.013846659979
2011-06-01	952.0	958.65	943.65	946.8	1838400	896.9298	-0.00530545279445
2011-06-02	936.55	954.7	936.55	951.05	2152900	900.956	0.00448886858258
2011-06-03	960.5	967.0	931.5	934.6	4368200	885.3724	-0.0172967381315
2011-06-06	934.65	940.8	928.15	937.75	1405700	888.3565	0.00337044615351
2011-06-07	933.55	960.0	933.55	958.25	4025900	907.7767	0.0218608182638
2011-06-08	955.25	955.95	943.95	949.2	3247000	899.2034	-0.00944428293874
2011-06-09	947.5	957.85	947.0	954.0	2092000	903.7506	0.00505692038086
2011-06-10	955.1	956.0	932.05	944.5	2530100	894.751	-0.00995805701263
2011-06-13	943.25	943.25	921.0	925.6	2954000	876.8465	-0.0200105951265
2011-06-14	925.3	931.75	910.0	911.35	4335500	863.3471	-0.0153953970279
2011-06-15	912.0	918.9	898.6	900.55	4607400	853.1159	-0.0118506218414
2011-06-16	901.0	901.0	884.1	887.55	5707500	840.8007	-0.0144355532466
2011-06-17	891.3	893.3	865.2	868.75	5035600	822.9909	-0.021181951918
2011-06-20	875.0	875.0	828.1	833.25	6926000	789.3608	-0.0408632707846
2011-06-21	839.9	855.0	837.3	848.65	3980400	803.9497	0.0184819160009
2011-06-22	853.35	858.15	834.15	845.8	4596200	801.2497	-0.00335841906527
2011-06-23	846.55	872.7	845.9	870.5	4734800	824.6487	0.0292031310589
2011-06-24	874.15	879.7	855.6	871.4	7239300	825.5014	0.00103401606041
2011-06-27	866.7	881.8	861.85	871.55	3280000	825.6434	0.000172016667688
2011-06-28	878.9	878.9	862.0	871.1	2336000	825.2171	-0.000516324602122
2011-06-29	875.7	888.0	872.1	885.25	2841400	838.6218	0.0162438466193
2011-06-30	888.7	902.0	887.0	898.5	4970400	851.1739	0.0149675336367
2011-07-01	907.0	907.0	856.7	861.95	6555200	816.5491	-0.0406788788989
2011-07-04	874.4	879.4	865.0	868.4	3771500	822.6594	0.00748307725769
2011-07-05	869.3	869.3	844.0	845.95	7727400	801.3919	-0.0258521327295
2011-07-06	848.85	858.5	840.7	852.9	6143800	807.9758	0.00821558091615
2011-07-07	858.0	874.9	855.25	870.7	4603200	824.8382	0.0208699319955
2011-07-08	873.0	874.0	852.0	854.85	4785900	809.823	-0.018203812578
2011-07-11	854.0	859.95	847.0	853.3	2194100	808.3547	-0.00181311224799
2011-07-12	847.5	857.4	845.7	847.75	2986700	803.097	-0.00650419920859
2011-07-13	853.05	869.7	851.1	865.45	3892700	819.8647	0.0208787979534
2011-07-14	863.3	877.9	859.35	867.55	3043000	821.8541	0.00242649793313
2011-07-15	867.7	876.0	865.0	873.2	2332900	827.2065	0.00651259146849
2011-07-18	871.9	873.9	864.2	867.6	1504700	821.9015	-0.00641315076707
2011-07-19	867.5	881.4	866.0	879.45	2245300	833.1273	0.0136583276707
2011-07-20	886.0	886.8	868.8	876.2	2555500	830.0485	-0.00369547366891
2011-07-21	875.95	875.95	857.55	860.85	1802600	815.507	-0.0175188558259
2011-07-22	866.0	877.0	862.5	873.35	3498100	827.3486	0.0145205375306
2011-07-25	892.0	892.0	879.15	882.85	5007100	836.3482	0.0108776397277
2011-07-26	888.25	890.15	869.4	871.5	4677200	825.5961	-0.0128560090163
2011-07-27	875.0	875.0	859.15	860.85	3126000	815.507	-0.0122203823395
2011-07-28	855.0	855.0	833.4	837.35	7154500	793.2448	-0.0272986007478
2011-07-29	840.0	847.25	823.15	827.95	4890100	784.34	-0.0112257905756
2011-08-01	838.0	838.0	821.35	830.85	3255400	787.0872	0.00350256266415
2011-08-02	827.55	838.9	818.5	837.3	3787700	793.1974	0.00776305344567
2011-08-03	826.75	836.2	823.1	825.05	3219600	781.5927	-0.0146302799278
2011-08-04	828.0	831.65	810.05	812.35	3140100	769.5616	-0.0153930557437
2011-08-05	799.5	799.5	779.0	792.0	5994000	750.2835	-0.0250507561708
2011-08-08	776.7	796.4	767.0	780.65	5084300	739.5314	-0.0143307163226
2011-08-09	753.0	779.0	753.0	765.3	7463000	724.9899	-0.0196631272181
2011-08-10	785.35	790.0	765.0	772.75	4056500	732.0475	0.00973475630488
2011-08-11	768.35	784.95	765.0	772.2	2489300	731.5264	-0.00071183905416
2011-08-12	783.0	783.0	758.0	760.9	3936700	720.8216	-0.0146335115178
2011-08-16	760.0	772.3	754.7	759.15	2580000	719.1638	-0.00229987558641
2011-08-17	760.5	774.4	751.0	755.0	3096300	715.2324	-0.00546662665724
2011-08-18	757.7	760.0	737.0	741.2	3914900	702.1593	-0.0182781149176
2011-08-19	731.05	739.0	721.3	732.55	4663000	693.9649	-0.0116702862157
2011-08-22	731.0	759.85	725.6	757.0	3552800	717.127	0.0333764719224
2011-08-23	760.35	772.0	747.5	765.25	4008600	724.9425	0.0108983485491
2011-08-24	764.0	769.5	756.0	761.3	2968700	721.2005	-0.00516178869359
