Date	Open_DJI	High_DJI	Low_DJI	Close_DJI	Volume_DJI	AdjClose_DJI	Return_DJI
2013-12-16	15759.599609	15930.30957	15759.599609	15884.570312	101470000	15884.570312	0.00820101585195
2013-12-17	15884.05957	15917.959961	15836.450195	15875.259766	101490000	15875.259766	-0.000586137730963
2013-12-18	15876.570312	16173.040039	15808.919922	16167.969727	129620000	16167.969727	0.0184381210333
2013-12-19	16162.509766	16194.719727	16121.540039	16179.080078	94980000	16179.080078	0.000687182818103
2013-12-20	16178.570312	16287.839844	16178.570312	16221.139648	285190000	16221.139648	0.00259962678949
2013-12-23	16225.25	16318.110352	16225.25	16294.610352	78930000	16294.610352	0.00452931825965
2013-12-24	16295.700195	16360.599609	16295.700195	16357.549805	33640000	16357.549805	0.00386259331401
2013-12-26	16370.969727	16483.0	16370.969727	16479.880859	50160000	16479.880859	0.0074785683344
2013-12-27	16486.369141	16529.009766	16461.230469	16478.410156	47230000	16478.410156	-8.92423320643e-05
2013-12-30	16484.509766	16504.349609	16476.869141	16504.289062	54220000	16504.289062	0.00157047347135
2013-12-31	16512.380859	16588.25	16511.480469	16576.660156	78760000	16576.660156	0.00438498706173
2014-01-02	16572.169922	16573.070312	16416.490234	16441.349609	80960000	16441.349609	-0.00816271466789
2014-01-03	16456.890625	16518.740234	16439.300781	16469.990234	72770000	16469.990234	0.00174198746947
2014-01-06	16474.039062	16532.990234	16405.519531	16425.099609	89380000	16425.099609	-0.00272560119115
2014-01-07	16429.019531	16562.320312	16429.019531	16530.939453	81270000	16530.939453	0.00644378704054
2014-01-08	16527.660156	16528.880859	16416.689453	16462.740234	103260000	16462.740234	-0.00412555010524
2014-01-09	16471.410156	16525.349609	16378.610352	16444.759766	83990000	16444.759766	-0.00109219168525
2014-01-10	16453.619141	16487.650391	16379.019531	16437.050781	85190000	16437.050781	-0.000468780639528
2014-01-13	16434.029297	16453.130859	16240.599609	16257.94043	111680000	16257.94043	-0.0108967450053
2014-01-14	16261.990234	16373.919922	16260.830078	16373.860352	98610000	16373.860352	0.00713004962093
2014-01-15	16378.030273	16505.279297	16376.780273	16481.939453	101130000	16481.939453	0.00660070983119
2014-01-16	16477.699219	16477.699219	16375.55957	16417.009766	87370000	16417.009766	-0.00393944457721
