Date	Open_N225	High_N225	Low_N225	Close_N225	Volume_N225	AdjClose_N225	Return_N225
2014-10-02	15895.200195	15922.509766	15646.400391	15661.990234	175400	15661.990234	-0.0261319010711
2014-10-03	15616.480469	15708.650391	15559.070312	15708.650391	139700	15708.650391	0.00297919717117
2014-10-06	15882.280273	15970.650391	15808.219727	15890.950195	127600	15890.950195	0.0116050583253
2014-10-07	15841.169922	15913.519531	15755.570312	15783.830078	134800	15783.830078	-0.00674095102467
2014-10-08	15574.599609	15643.629883	15520.80957	15595.980469	150200	15595.980469	-0.0119013958001
2014-10-09	15681.530273	15732.320312	15461.089844	15478.929688	141000	15478.929688	-0.00750518899614
2014-10-10	15292.879883	15345.780273	15221.830078	15300.549805	186100	15300.549805	-0.0115240450468
2014-10-13	15300.549805	15300.549805	15300.549805	15300.549805	0	15300.549805	0.0
2014-10-14	15036.870117	15089.900391	14919.709961	14936.509766	186200	14936.509766	-0.0237926116146
2014-10-15	15009.75	15084.610352	14916.650391	15073.519531	152600	15073.519531	0.00917280992323
2014-10-16	14805.160156	14807.080078	14672.549805	14738.379883	198900	14738.379883	-0.0222336692709
2014-10-17	14796.320312	14830.669922	14529.030273	14532.509766	178600	14532.509766	-0.0139683003583
2014-10-20	14822.839844	15111.230469	14819.69043	15111.230469	162000	15111.230469	0.0398224884978
2014-10-21	15115.290039	15115.290039	14761.839844	14804.280273	143000	14804.280273	-0.0203127201739
2014-10-22	15038.19043	15195.780273	15001.429688	15195.769531	137400	15195.769531	0.02644432899
2014-10-23	15093.780273	15232.509766	15059.639648	15138.959961	119600	15138.959961	-0.00373851221448
2014-10-24	15354.349609	15377.049805	15232.0	15291.639648	121800	15291.639648	0.0100852163817
2014-10-27	15404.280273	15424.049805	15333.709961	15388.719727	121000	15388.719727	0.00634857224174
2014-10-28	15363.280273	15374.459961	15263.360352	15329.910156	122300	15329.910156	-0.00382160257925
2014-10-29	15442.389648	15595.290039	15394.790039	15553.910156	148800	15553.910156	0.0146119577819
2014-10-30	15596.5	15701.040039	15584.830078	15658.200195	184100	15658.200195	0.00670506888326
2014-10-31	15817.139648	16533.910156	15817.139648	16413.759766	268500	16413.759766	0.0482532833653
2014-11-04	16732.849609	17127.660156	16720.990234	16862.470703	335600	16862.470703	0.0273374865599
